path,2013,2014,2015,2016,2017,2018,2019,2020,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule,NO,YES,NO,YES,YES,NO,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList.MonthlyDelivery,YES,YES,YES,YES,YES,NO,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList.MonthlyDelivery,NO,NO,YES,YES,YES,NO,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ModelsAffectedList.ModelAffected,NO,NO,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.SecondaryDistribution.ComponentList.Component,NO,NO,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.ComponentSplit.ComponentList.Component,YES,YES,NO,NO,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.NonRecurring.CostElementList.CostElement,YES,NO,NO,NO,NO,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning,YES,YES,YES,YES,NO,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.CheckoutAndLaunch.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.CommandAndLaunch.CostElementList.CostElement,NO,NO,YES,YES,YES,NO,NO,NO,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway,YES,YES,YES,YES,YES,YES,YES,YES,
JustificationBook.LineItemList.LineItem.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement,YES,YES,YES,YES,YES,YES,YES,YES,
