Name_val,Name_@footnote,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_UnitCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"LOAD, ASSEMBLE, PACK (LAP)","","0.000","","","1485","4149","6.161","813.55","4768","3.879","1542.25","1728","2.665","1541.85","1565","2.413","1542.06","3293","5.078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","0-bb6572cc8083d7c5d390bae5c6109de001c6b2f1c16d620b5c260b959a7433e8","0-bf17a518d70e0ccd7f72deeed714963598fb14043673e560f40074db7152a934","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LUG SUSP ACFT ORD MS3314","","0.000","","","23.21","8384","0.195","23.6","9661","0.228","23.96","3464","0.083","23.96","3172","0.076","23.96","6636","0.159","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","1-f8115e911a27d6feb19e3c7eaa4d5f931b99e3282383c5c5b32781dca2ef39a5","0-bf17a518d70e0ccd7f72deeed714963598fb14043673e560f40074db7152a934","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CXM-7","","0.000","","","12.78","580860","7.423","18.57","532526","9.889","18.71","241903","4.526","18.71","219188","4.101","18.71","461091","8.627","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","2-55f9b502b3c171f5e35be7efbd6fed3e8ffc706299d9202636d6695995199d79","0-bf17a518d70e0ccd7f72deeed714963598fb14043673e560f40074db7152a934","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BOMB BODY 500 LB MK82 MOD 6 IM","","0.000","","","1842.56","4235","7.803","1894.18","3988","7.554","1926.22","1762","3.394","1926.07","1596","3.074","1926.15","3358","6.468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","3-03eca3124335e777bb9a8c36736dc029d0d85303200f02f75c94b7b2362612f0","0-bf17a518d70e0ccd7f72deeed714963598fb14043673e560f40074db7152a934","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET MHU-122/E","","0.000","","","","","0.000","154.08","1324","0.204","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","4-2e18594e9d82908c26879ca2905b63f3e4f5dd1893b90d12e00b4e79117e1a85","0-bf17a518d70e0ccd7f72deeed714963598fb14043673e560f40074db7152a934","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"RECEIPT BOMB MK82-1 500LB","","0.000","","","4.64","4235","0.02","10.17","4719","0.048","10.62","1789","0.019","10.62","1601","0.017","10.62","3390","0.036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","5-a2a9da4b82f7a10d8d291d9ac54a49fc14bd2bde02f983bb662c4ccc12c0b442","0-bf17a518d70e0ccd7f72deeed714963598fb14043673e560f40074db7152a934","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET MHU-149/E","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","6-9dd09e4a80b92b1ab90a83c2d5b330e461228928c000b03477feaa4291fead70","0-bf17a518d70e0ccd7f72deeed714963598fb14043673e560f40074db7152a934","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET INSPECTION, MHU-149/E","","0.000","","","156.33","702","0.11","143.56","808","0.116","155.93","295","0.046","155.89","263","0.041","155.91","558","0.087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","7-667f545af7e882fa5c2855197d5e01293ed5a1afdd30559b273e3957310a168d","0-bf17a518d70e0ccd7f72deeed714963598fb14043673e560f40074db7152a934","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK","","0.000","","","4729.6","1446","6.839","3943.94","553","2.181","4729.85","334","1.58","4729.85","297","1.405","4730.59","631","2.985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","0-902174b65a15995256200a65d51babacc018c6997d55c21db3ec42d35f8b7ed4","0-78f0003c7a5b10f599468491da72d479cdd43e640457134cee44e0a0e97afa78","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LUG SUSP ACFT ORD MK3-0","","0.000","","","61.28","2921","0.179","60.39","1126","0.068","61.27","674","0.041","61.27","600","0.037","61.22","1274","0.078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","1-bd95f05e121c24cbde3852b4de8f4501c219308990e208233bccbed2349d162d","0-78f0003c7a5b10f599468491da72d479cdd43e640457134cee44e0a0e97afa78","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BOMB BODY 2000LB MK84 MOD 10 IM","","0.000","","","5167.8","1472","7.607","5084.96","565","2.873","5167.8","340","1.757","5167.8","303","1.566","5167.96","643","3.323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","2-2b9ff7bd424adb577b7eebb1010aeee60630c072be29d00ca2a23c8b25b43630","0-78f0003c7a5b10f599468491da72d479cdd43e640457134cee44e0a0e97afa78","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CXM-AF7","","0.000","","","18.88","939936","17.746","18.57","359558","6.677","18.88","217100","4.099","18.88","193050","3.645","18.88","410150","7.744","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","3-80caa1a7dd6c200fdcea9464e8351afa681bb6a79fc1da014416055ef0336261","0-78f0003c7a5b10f599468491da72d479cdd43e640457134cee44e0a0e97afa78","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET MK79-1","","0.000","","","861.64","730","0.629","784.95","279","0.219","862.09","169","0.146","862.09","150","0.129","862.07","319","0.275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","4-ec2d7c6efcea782bcb20490c39fc516f1aeaaf400946678928af08ced70349b2","0-78f0003c7a5b10f599468491da72d479cdd43e640457134cee44e0a0e97afa78","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"RECEIPT BOMB MK84-4 2000LB MOD 10 IM","","0.000","","","18.01","1444","0.026","17.73","564","0.01","18","340","0.006","18","303","0.005","17.11","643","0.011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","5-6befeb0d97704905fc8345a72e8eda5205023166a6860551f19380ac8561fb94","0-78f0003c7a5b10f599468491da72d479cdd43e640457134cee44e0a0e97afa78","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD ASSEMBLE & PACK","","0.000","","","8750","12","0.105","8701.03","97","0.844","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","0-eda2e2dcf27eed179d713cfa4c6c3dfe2890471ee9d57f1cd0e10dc84836b8da","0-f03d86a5d071ed9d3f3e57b3351240aef394c8e0950a48da788c35f50b4244cc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"AFX-757 (LB)","","0.000","","","20","11000","0.22","8","86595","0.693","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","1-9a120ab927dab0dc73b187291170e5d38711532dbb029d5cc535d105e0a7b8ca","0-f03d86a5d071ed9d3f3e57b3351240aef394c8e0950a48da788c35f50b4244cc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BLU-121 2000LB PENETRATOR BOMB","","0.000","","","92916.67","12","1.115","66216.49","97","6.423","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8d6c224d9ddec7398476888d77187b6589876e92ee94d1d38a7d1cdd0dcf660c","2-b91e578f3752c4888eae7685acd55eb4de2fb43aa6e3a658c7b3ee494fc027f6","0-f03d86a5d071ed9d3f3e57b3351240aef394c8e0950a48da788c35f50b4244cc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK","","0.000","","","19","577939","10.981","55","97575","5.367","24.01","489963","11.764","24.01","50604","1.215","24.01","540567","12.979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e8ddbf24c267dae4645a915fe07794ca60208b44bf3131c61853940533173d06","0-50f2ae5a684c63bf08646200a50ddc8ce9d73e363c82ecf74d5886a6b852a073","0-850c44e83aee1c0027db5ac496391da91a418b10a74aeb341475adbbf2e3fb47","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET MK3-0","","0.000","","","193","116","0.022","209","19","0.004","212.12","99","0.021","222.22","9","0.002","212.96","108","0.023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e8ddbf24c267dae4645a915fe07794ca60208b44bf3131c61853940533173d06","1-001c957d67de339c41d299060a3dd26f09f87f92142b4be0dbbb1d940055f4e5","0-850c44e83aee1c0027db5ac496391da91a418b10a74aeb341475adbbf2e3fb47","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BOX, METAL M548","","0.000","","","33","2370","0.078","38.13","396","0.015","39.17","2017","0.079","39.22","204","0.008","39.17","2221","0.087","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e8ddbf24c267dae4645a915fe07794ca60208b44bf3131c61853940533173d06","2-0056eb8570fbe781bad6784511841af130bd41dae7ebfa8c2b83ee74b132a51e","0-850c44e83aee1c0027db5ac496391da91a418b10a74aeb341475adbbf2e3fb47","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK","","0.000","","","9.73","503186","4.896","14.14","327157","4.626","10.96","904197","9.91","","","0.000","10.96","904197","9.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e8ddbf24c267dae4645a915fe07794ca60208b44bf3131c61853940533173d06","0-18cb7579960d8e0b793cf2ddc24df80315d3afb533bb18d9e06942a56b1e687f","0-3fe95d03c23bfc98cd16be3559e2cb18902031142f5c4694da10692e7d0715e0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"BOX METAL M548","","0.000","","","33.14","2052","0.068","38.69","1344","0.052","39.17","3702","0.145","","","0.000","39.17","3702","0.145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e8ddbf24c267dae4645a915fe07794ca60208b44bf3131c61853940533173d06","1-5b68971be14de381418894010b8a2a96b29e8600afa8391e4deb2ed46f25ecdf","0-3fe95d03c23bfc98cd16be3559e2cb18902031142f5c4694da10692e7d0715e0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PALLET MK3-0","","0.000","","","196.08","102","0.02","212.12","66","0.014","213.11","183","0.039","","","0.000","213.11","183","0.039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e8ddbf24c267dae4645a915fe07794ca60208b44bf3131c61853940533173d06","2-df1079f078d235d947bf19decbe1df5eae0eef3ec09d493f95a57fde96b95a7b","0-3fe95d03c23bfc98cd16be3559e2cb18902031142f5c4694da10692e7d0715e0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD, ASSEMBLE, PACK (LAP)","","0.000","","","51","931044","47.483","50.34","209479","10.545","51.39","72232","3.712","51.49","90425","4.656","51.45","162657","8.368","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e8ddbf24c267dae4645a915fe07794ca60208b44bf3131c61853940533173d06","0-bc65359483dab8ce5ec8a980ee92e8fd1c107652a5a6bbfdd2df0aa25daaed6f","0-3b3bc6d3436a08a5dc6dd526e44dab67bfa769e806ca2f62bda984f98038163b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"TUBE AND STRAP ASSEMBLY F/30MM","","0.000","","","401.91","1677","0.674","405.84","377","0.153","453.85","130","0.059","407.41","162","0.066","428.08","292","0.125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e8ddbf24c267dae4645a915fe07794ca60208b44bf3131c61853940533173d06","1-61d92fca30505dc59dbf031ec1e3f1ffc0fe258dffc2a3632b01995026bc4d82","0-3b3bc6d3436a08a5dc6dd526e44dab67bfa769e806ca2f62bda984f98038163b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CONTAINER CNU-332","","0.000","","","1898.03","1677","3.183","2761.27","377","1.041","2761.54","130","0.359","2644.17","163","0.431","2696.25","293","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e8ddbf24c267dae4645a915fe07794ca60208b44bf3131c61853940533173d06","2-ab6b73a7f47c0833d14a5b6ae1299c2eafa0c2f244a10ee8c0ee4c775c8b83ba","0-3b3bc6d3436a08a5dc6dd526e44dab67bfa769e806ca2f62bda984f98038163b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"LOAD,ASSEMBLE,PACK","","0.000","","","16","1988675","31.819","17.16","331355","5.686","31.5","162063","5.105","","","0.000","31.5","162063","5.105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e8ddbf24c267dae4645a915fe07794ca60208b44bf3131c61853940533173d06","0-ff65f946812b1b7302ec452c7f9839eb5631c201a214665598a079e012283932","0-1c866fa1288106861072dc9dcae947af4b2033a10b3d89d0252bbccfe41831ed","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"TUBE AND STRAP ASSEMBLY","","0.000","","","386","3580","1.382","406.04","596","0.242","451.72","290","0.131","","","0.000","451.72","290","0.131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e8ddbf24c267dae4645a915fe07794ca60208b44bf3131c61853940533173d06","1-49cedf53346a77f7748e0a2ca87971177326505d8c7036edf1bfb84b3f56b411","0-1c866fa1288106861072dc9dcae947af4b2033a10b3d89d0252bbccfe41831ed","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CONTAINER CNU-332E","","0.000","","","218","3580","0.78","182.89","596","0.109","242.32","293","0.071","","","0.000","242.32","293","0.071","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e8ddbf24c267dae4645a915fe07794ca60208b44bf3131c61853940533173d06","2-1e6750c6cbd9c94225e0b51a91c483a328a631bd185ca8a84e97d1e153e5e9ce","0-1c866fa1288106861072dc9dcae947af4b2033a10b3d89d0252bbccfe41831ed","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
